id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_86_typemenu","TypeMenu → ResetInfo","TypeMenu → ResetInfo","cross_community",5,"['comm_43','comm_23','comm_63','comm_28']","Method:src/com/langla/real/npc/NPC_Action.java:NPC_Action.TypeMenu#2","Method:src/com/langla/real/player/Char.java:Char.resetInfo#0"
"proc_87_quay","Quay → WriteByte","Quay → WriteByte","cross_community",5,"['comm_47','comm_43','comm_23','comm_63']","Method:src/com/langla/real/khobau/KhoBau.java:KhoBau.Quay#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_88_buycho","BuyCho → WriteByte","BuyCho → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.BuyCho#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_89_thuvanmay","ThuVanMay → WriteByte","ThuVanMay → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.thuVanMay#0","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_90_write","Write → Positive","Write → Positive","cross_community",5,"['comm_63','comm_49']","Method:src/com/langla/real/map/Map.java:Zone.write#2","Method:src/com/langla/lib/Utlis.java:Utlis.positive#1"
"proc_91_write","Write → WriteShort","Write → WriteShort","intra_community",5,"['comm_63']","Method:src/com/langla/real/map/Map.java:Zone.write#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeShort#1"
"proc_92_khaimoskill","KhaiMoSkill → WriteByte","KhaiMoSkill → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.KhaiMoSkill#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_93_dangbancho","DangBanCho → WriteByte","DangBanCho → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.DangBanCho#3","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_94_nangcapvithu","NangCapViThu → WriteByte","NangCapViThu → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/other/UseOtherFunctions.java:UseOtherFunctions.nangCapViThu#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_95_createzonecustom","CreateZoneCustom → DataCenter","CreateZoneCustom → DataCenter","cross_community",5,"['comm_141','comm_142','comm_17']","Method:src/com/langla/real/map/Map.java:Map.createZoneCustom#10","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_96_nextmap","NextMap → WriteByte","NextMap → WriteByte","cross_community",5,"['comm_160','comm_43','comm_23','comm_63']","Method:src/com/langla/real/map/Map.java:Map.nextMap#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_97_camchat","CamChat → WriteByte","CamChat → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.camChat#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_98_gopquy","GopQuy → WriteByte","GopQuy → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.gopQuy#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_99_rutquy","RutQuy → WriteByte","RutQuy → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.rutQuy#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_100_a","A → LogError","A → LogError","cross_community",5,"['comm_66','comm_61','comm_23']","Method:src/com/langla/lib/Binary.java:Binary.a#0","Method:src/com/langla/lib/Utlis.java:Utlis.logError#3"
"proc_101_b","B → LogError","B → LogError","cross_community",5,"['comm_66','comm_61','comm_23']","Method:src/com/langla/lib/Binary.java:Binary.b#0","Method:src/com/langla/lib/Utlis.java:Utlis.logError#3"
"proc_102_sendshop","SendShop → WriteByte","SendShop → WriteByte","cross_community",5,"['comm_23','comm_63']","Method:src/com/langla/real/player/Session.java:Serivce.SendShop#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_103_listgiatoc","ListGiaToc → WriteByte","ListGiaToc → WriteByte","cross_community",5,"['comm_23','comm_43','comm_63']","Method:src/com/langla/real/player/Session.java:Serivce.listGiaToc#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
